DIRECTORIO,SECUENCIA_P,SECUENCIA_ENCUESTA,P5010,P8526,P8530,PERSONAS,FEX_C,logro_educativo,analfabetismo,inasistencia_escolar,rezago_escolar,atencion_integral,trabajo_infantil,aseguramiento_salud,barreras_acceso_salud,desempleo_larga_duracion,empleo_formal,acueducto,alcantarillado,pisos,paredes,hacinamiento,IPM,POBRE,FEXP,PERIODO,P1075,P1077S21,P1077S22,P1077S23
8369697,1,1,1,4,1,1,82.143755248,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0.48,1,82.143755248,20250731,2,2,2,2
8369698,1,3,3,3,1,3,51.12242652,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.28,0,153.36727956,,,,,
8369699,1,2,2,5,1,2,93.723534628,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.24,0,187.44706926,,,,,
8369700,1,4,2,2,5,4,101.39996669,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.18,0,405.59986674,,,,,
8369701,1,3,2,3,5,3,88.420951681,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.18,0,265.26285504,,,,,
8369702,1,5,3,5,1,5,100.65910208,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0.19,0,503.29551041,,,,,
8369703,1,2,2,2,1,2,75.166533064,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.19,0,150.33306613,,,,,
8369704,1,3,2,5,1,3,81.032295373,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.28,0,243.09688612,,,,,
8369705,1,1,1,3,5,1,78.750114594,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.18,0,78.750114594,20250731,2,2,2,2
8369706,1,1,1,5,1,1,93.976585254,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.04,0,93.976585254,20250731,1,2,2,2
8369708,1,5,1,1,1,5,370.73319813,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.14,0,1853.6659907,,,,,
8369709,1,3,2,1,10,3,179.06785818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537.20357453,,,,,
8369710,1,3,2,1,10,3,112.98873722,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,338.96621166,,,,,
8369711,1,4,1,1,1,4,165.92593429,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.09,0,663.70373715,,,,,
8369712,1,5,2,1,1,5,130.47933805,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,652.39669027,,,,,
8369713,1,3,1,1,1,3,61.595155381,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0.23,0,184.78546614,,,,,
8369714,1,5,2,1,10,5,241.16999739,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.29,0,1205.849987,,,,,
8369715,1,3,1,1,1,3,113.87744445,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.18,0,341.63233334,,,,,
8369716,1,1,1,1,1,1,68.514560394,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.34,1,68.514560394,20250731,2,2,2,2
8369717,1,3,2,1,1,3,205.99951173,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,617.99853518,,,,,
8369718,1,1,1,1,1,1,68.514560394,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,68.514560394,20250731,2,2,2,2
8369719,1,3,2,2,1,3,132.77711548,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.24,0,398.33134643,,,,,
8369720,1,4,1,1,1,4,138.62812622,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.18,0,554.5125049,,,,,
8369721,1,3,2,1,1,3,154.59821396,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,463.79464187,,,,,
8369722,1,4,2,1,1,4,118.86060672,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,475.44242686,,,,,
8369724,1,1,1,1,1,1,142.08983648,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,142.08983648,20250731,2,2,2,2
8369725,1,2,1,1,1,2,181.4904703,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,362.98094059,,,,,
8369726,1,3,2,1,1,3,172.25443107,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.15,0,516.7632932,,,,,
8369727,1,3,2,1,1,3,220.44969008,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.15,0,661.34907024,,,,,
8369728,1,3,2,1,1,3,324.31142593,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,972.93427778,,,,,
8369730,1,4,4,1,1,4,2587.3009399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10349.203759,,,,,
8369735,1,6,2,1,1,6,2527.1170225,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.14,0,15162.702135,,,,,
8369738,1,2,1,1,1,2,1683.9377112,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.3,0,3367.8754225,,,,,
8369739,1,4,4,1,1,4,3003.8212946,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05,0,12015.285178,,,,,
8369740,1,4,3,1,1,4,2238.1413567,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0.2,0,8952.565427,,,,,
