"DIRECTORIO","SECUENCIA_P","SECUENCIA_ENCUESTA","P5010","P8526","P8530","REGION","DEPARTAMENTO","PERSONAS","FEX_C","logro_educativo","analfabetismo","inasistencia_escolar","rezago_escolar","atencion_integral","trabajo_infantil","aseguramiento_salud","barreras_acceso_salud","desempleo_larga_duracion","empleo_formal","acueducto","alcantarillado","pisos","paredes","hacinamiento","IPM","POBRE","FEXP","PERIODO","P1075","P1077S21","P1077S22","P1077S23"
8410065,1,2,1,1,1,1,23,2,265.602156797414,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.2,0,531.204313594828,NA,NA,NA,NA,NA
8410066,1,1,1,1,1,1,23,1,295.242279252381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295.242279252381,20250731,1,2,2,2
8410067,1,3,3,1,1,1,23,3,230.996018107435,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,692.988054322305,NA,NA,NA,NA,NA
8410068,1,3,2,1,1,1,23,3,270.936887855603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812.810663566809,NA,NA,NA,NA,NA
8410069,1,6,3,1,1,1,23,6,187.261685639322,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.15,0,1123.57011383593,NA,NA,NA,NA,NA
8410070,1,3,3,1,1,1,23,3,124.841123759548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374.523371278644,NA,NA,NA,NA,NA
8410071,1,3,4,1,1,1,23,3,375.595102304768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126.7853069143,NA,NA,NA,NA,NA
8410072,1,1,1,1,1,1,23,1,460.880214126284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460.880214126284,20250731,1,2,1,2
8410073,1,3,4,1,1,1,23,3,125.246179622804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.738538868412,NA,NA,NA,NA,NA
8410074,1,5,5,1,1,1,23,5,237.442632182365,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.2,0,1187.21316091183,NA,NA,NA,NA,NA
